Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,2600.919922,2750.820068,2598.570068,2724.489990,2724.489990,7183090000
2013-01-07,2713.439941,2749.360107,2703.750000,2748.260010,2748.260010,8706270000
2013-01-14,2733.459961,2756.679932,2710.800049,2743.239990,2743.239990,9047880000
2013-01-21,2744.270020,2769.310059,2719.830078,2736.729980,2736.729980,7456160000
2013-01-28,2737.620117,2768.629883,2722.520020,2763.959961,2763.959961,10204380000
2013-02-04,2749.399902,2780.129883,2715.510010,2775.560059,2775.560059,9800010000
2013-02-11,2774.439941,2783.189941,2756.429932,2764.669922,2764.669922,8944190000
2013-02-18,2770.699951,2782.860107,2700.320068,2737.280029,2737.280029,7479770000
2013-02-25,2756.189941,2763.959961,2689.830078,2747.750000,2747.750000,9398780000
2013-03-04,2738.209961,2812.729980,2734.919922,2804.110107,2804.110107,8661160000
2013-03-11,2798.129883,2812.290039,2787.719971,2799.409912,2799.409912,8836400000
2013-03-18,2771.530029,2811.479980,2763.120117,2800.810059,2800.810059,8213930000
2013-03-25,2810.750000,2820.669922,2778.780029,2818.689941,2818.689941,6167440000
2013-04-01,2819.780029,2828.639893,2744.260010,2771.750000,2771.750000,7945880000
2013-04-08,2772.300049,2863.659912,2764.340088,2856.479980,2856.479980,7891870000
2013-04-15,2841.260010,2849.159912,2730.969971,2780.459961,2780.459961,8702300000
2013-04-22,2791.770020,2860.689941,2780.820068,2840.550049,2840.550049,8785900000
2013-04-29,2849.540039,2952.219971,2849.040039,2944.590088,2944.590088,8966030000
2013-05-06,2948.899902,2981.020020,2942.250000,2981.020020,2981.020020,8482560000
2013-05-13,2972.959961,3028.959961,2971.729980,3028.959961,3028.959961,9054310000
2013-05-20,3019.280029,3053.510010,2965.300049,2991.020020,2991.020020,8971250000
2013-05-27,3024.379883,3037.000000,2979.899902,2981.760010,2981.760010,7248310000
2013-06-03,2984.590088,3007.300049,2911.939941,2990.870117,2990.870117,9189140000
2013-06-10,2995.030029,3004.669922,2914.199951,2943.860107,2943.860107,7789860000
2013-06-17,2967.330078,3001.889893,2853.689941,2877.939941,2877.939941,9869520000
2013-06-24,2852.649902,2927.489990,2825.179932,2909.600098,2909.600098,10679730000
2013-07-01,2933.479980,2963.820068,2913.479980,2963.219971,2963.219971,5462320000
2013-07-08,2976.610107,3079.070068,2955.370117,3079.070068,3079.070068,8082610000
2013-07-15,3077.020020,3091.209961,3035.989990,3044.929932,3044.929932,8108860000
2013-07-22,3061.500000,3076.229980,3029.070068,3076.229980,3076.229980,8984050000
2013-07-29,3067.479980,3143.520020,3062.909912,3143.520020,3143.520020,8798240000
2013-08-05,3136.770020,3145.250000,3096.409912,3118.570068,3118.570068,7825360000
2013-08-12,3107.060059,3149.239990,3068.070068,3073.909912,3073.909912,7819460000
2013-08-19,3074.379883,3127.050049,3061.419922,3124.270020,3124.270020,6525130000
2013-08-26,3127.010010,3147.870117,3053.260010,3073.810059,3073.810059,7088140000
2013-09-02,3097.649902,3148.989990,3077.129883,3133.379883,3133.379883,6682280000
2013-09-09,3146.020020,3189.239990,3146.020020,3178.280029,3178.280029,8343290000
2013-09-16,3203.189941,3248.520020,3163.129883,3224.729980,3224.729980,9197370000
2013-09-23,3242.320068,3243.429932,3202.750000,3230.300049,3230.300049,8879040000
2013-09-30,3190.399902,3256.709961,3186.860107,3242.570068,3242.570068,8966000000
2013-10-07,3215.770020,3240.110107,3117.689941,3233.830078,3233.830078,9459030000
2013-10-14,3213.379883,3355.629883,3212.050049,3353.879883,3353.879883,8862950000
2013-10-21,3361.760010,3400.040039,3330.199951,3383.830078,3383.830078,9760130000
2013-10-28,3382.179932,3408.280029,3364.649902,3379.760010,3379.760010,9814300000
2013-11-04,3388.699951,3401.270020,3318.399902,3366.840088,3366.840088,10057730000
2013-11-11,3359.830078,3422.580078,3346.409912,3422.580078,3422.580078,9063920000
2013-11-18,3423.469971,3429.199951,3359.310059,3422.020020,3422.020020,8713400000
2013-11-25,3433.919922,3495.969971,3420.360107,3487.820068,3487.820068,6033960000
2013-12-02,3496.189941,3511.100098,3453.219971,3504.260010,3504.260010,9050440000
2013-12-09,3515.669922,3524.010010,3449.739990,3456.399902,3456.399902,9014110000
2013-12-16,3470.429932,3540.969971,3422.860107,3531.189941,3531.189941,11306760000
2013-12-23,3563.189941,3591.310059,3552.300049,3574.020020,3574.020020,5017360000
2013-12-30,3570.860107,3592.000000,3537.610107,3538.729980,3538.729980,6156910000
2014-01-06,3539.020020,3579.399902,3512.449951,3565.080078,3565.080078,11274120000
2014-01-13,3559.389893,3615.699951,3499.370117,3591.250000,3591.250000,10614510000
2014-01-20,3611.629883,3634.649902,3541.379883,3541.479980,3541.479980,8742390000
2014-01-27,3543.500000,3548.479980,3461.639893,3521.919922,3521.919922,11190290000
2014-02-03,3524.229980,3563.139893,3418.879883,3561.909912,3561.909912,10957300000
2014-02-10,3558.590088,3671.040039,3557.780029,3663.879883,3663.879883,9973310000
2014-02-17,3668.989990,3687.159912,3640.629883,3662.600098,3662.600098,7973960000
2014-02-24,3670.070068,3722.379883,3663.750000,3696.100098,3696.100098,11073610000
2014-03-03,3657.320068,3738.320068,3637.669922,3703.399902,3703.399902,11083150000
2014-03-10,3702.139893,3725.709961,3626.860107,3627.870117,3627.870117,11301760000
2014-03-17,3653.189941,3717.360107,3643.350098,3653.070068,3653.070068,10859060000
2014-03-24,3665.379883,3665.580078,3543.070068,3571.489990,3571.489990,11461360000
2014-03-31,3598.080078,3676.360107,3532.280029,3539.379883,3539.379883,11119720000
2014-04-07,3522.209961,3602.350098,3440.550049,3446.850098,3446.850098,11396830000
2014-04-14,3479.659912,3551.020020,3414.110107,3534.530029,3534.530029,8121420000
2014-04-21,3543.649902,3613.199951,3525.590088,3533.100098,3533.100098,9433140000
2014-04-28,3546.959961,3613.030029,3489.600098,3587.639893,3587.639893,10332790000
2014-05-05,3566.260010,3605.260010,3506.350098,3555.699951,3555.699951,10285910000
2014-05-12,3574.239990,3625.770020,3542.629883,3587.199951,3587.199951,9392030000
2014-05-19,3577.850098,3678.169922,3572.280029,3677.330078,3677.330078,8475230000
2014-05-26,3693.179932,3741.570068,3691.090088,3736.820068,3736.820068,7215130000
2014-06-02,3740.709961,3795.139893,3707.889893,3794.570068,3794.570068,8503440000
2014-06-09,3795.850098,3804.040039,3751.689941,3775.560059,3775.560059,9011390000
2014-06-16,3768.370117,3811.239990,3761.419922,3802.639893,3802.639893,9916980000
2014-06-23,3802.250000,3844.889893,3791.120117,3844.439941,3844.439941,10969450000
2014-06-30,3844.449951,3923.149902,3841.699951,3923.010010,3923.010010,6391870000
2014-07-07,3917.889893,3923.919922,3837.159912,3904.580078,3904.580078,8844340000
2014-07-14,3923.600098,3947.489990,3866.219971,3939.889893,3939.889893,9289850000
2014-07-21,3933.110107,3997.500000,3917.739990,3965.169922,3965.169922,8838590000
2014-07-28,3966.310059,3989.000000,3855.350098,3879.669922,3879.669922,10070210000
2014-08-04,3890.629883,3922.250000,3845.199951,3888.090088,3888.090088,9038280000
2014-08-11,3899.979980,3997.080078,3887.580078,3987.510010,3987.510010,8059070000
2014-08-18,4007.189941,4060.899902,4003.459961,4052.750000,4052.750000,7363490000
2014-08-25,4073.479980,4082.969971,4054.610107,4082.560059,4082.560059,6906120000
2014-09-01,4093.120117,4104.430176,4051.750000,4089.919922,4089.919922,7127060000
2014-09-08,4086.520020,4110.859863,4053.110107,4069.229980,4069.229980,8924440000
2014-09-15,4070.199951,4118.910156,4009.979980,4100.089844,4100.089844,10569910000
2014-09-22,4091.870117,4096.270020,4007.629883,4053.719971,4053.719971,9071600000
2014-09-29,4009.659912,4070.439941,3934.939941,4027.310059,4027.310059,10193900000
2014-10-06,4041.399902,4048.790039,3870.860107,3870.860107,3870.860107,11421200000
2014-10-13,3866.889893,3893.659912,3700.229980,3815.469971,3815.469971,12874700000
2014-10-20,3813.600098,4045.189941,3804.969971,4042.020020,4042.020020,9388650000
2014-10-27,4031.879883,4170.870117,4019.229980,4158.209961,4158.209961,10195870000
2014-11-03,4160.600098,4179.930176,4126.720215,4160.500000,4160.500000,9939840000
2014-11-10,4162.589844,4228.680176,4151.479980,4224.990234,4224.990234,8864290000
2014-11-17,4215.290039,4285.270020,4194.180176,4251.319824,4251.319824,8514060000
2014-11-24,4262.089844,4347.089844,4258.410156,4337.790039,4337.790039,5649800000
2014-12-01,4323.950195,4332.549805,4274.680176,4311.569824,4311.569824,8958470000
2014-12-08,4301.270020,4320.080078,4199.279785,4199.279785,4199.279785,9529830000
2014-12-15,4224.169922,4300.399902,4089.090088,4281.779785,4281.779785,12115390000
2014-12-22,4271.870117,4322.450195,4270.540039,4314.089844,4314.089844,4970860000
2014-12-29,4309.700195,4321.200195,4206.459961,4230.240234,4230.240234,5447690000
2015-01-05,4206.549805,4253.970215,4090.330078,4213.279785,4213.279785,9741020000
2015-01-12,4221.520020,4252.700195,4078.850098,4142.140137,4142.140137,10044730000
2015-01-19,4164.430176,4292.879883,4117.149902,4278.140137,4278.140137,7332840000
2015-01-26,4271.100098,4282.479980,4103.709961,4148.430176,4148.430176,10165290000
2015-02-02,4162.200195,4271.279785,4094.729980,4228.680176,4228.680176,10443580000
2015-02-09,4209.810059,4384.029785,4206.759766,4384.029785,4384.029785,9239750000
2015-02-16,4379.319824,4444.620117,4370.629883,4443.049805,4443.049805,6790320000
2015-02-23,4441.259766,4464.310059,4428.819824,4440.669922,4440.669922,9299440000
2015-03-02,4452.799805,4483.970215,4389.819824,4399.229980,4399.229980,9417260000
2015-03-09,4406.870117,4424.220215,4289.299805,4314.899902,4314.899902,9125060000
2015-03-16,4338.290039,4478.680176,4327.270020,4458.540039,4458.540039,9922060000
2015-03-23,4454.149902,4467.790039,4280.950195,4332.859863,4332.859863,9123680000
2015-03-30,4359.779785,4384.180176,4284.060059,4316.009766,4316.009766,7054810000
2015-04-06,4286.160156,4422.629883,4283.910156,4422.020020,4422.020020,6998580000
2015-04-13,4428.129883,4448.200195,4333.109863,4351.799805,4351.799805,8559120000
2015-04-20,4373.649902,4543.640137,4373.089844,4536.779785,4536.779785,8817750000
2015-04-27,4548.509766,4562.330078,4395.100098,4479.060059,4479.060059,10199960000
2015-05-04,4491.189941,4510.470215,4349.930176,4458.649902,4458.649902,9904030000
2015-05-11,4457.620117,4509.129883,4380.520020,4494.290039,4494.290039,8518750000
2015-05-18,4487.140137,4542.459961,4483.759766,4527.160156,4527.160156,8410270000
2015-05-25,4516.629883,4551.529785,4456.759766,4508.250000,4508.250000,7307090000
2015-06-01,4530.029785,4539.350098,4452.319824,4477.189941,4477.189941,9141400000
2015-06-08,4476.689941,4511.319824,4392.450195,4453.790039,4453.790039,8312380000
2015-06-15,4416.140137,4540.689941,4396.129883,4513.419922,4513.419922,9504150000
2015-06-22,4541.850098,4561.640137,4469.229980,4484.279785,4484.279785,10320880000
2015-06-29,4433.109863,4460.080078,4377.229980,4433.390137,4433.390137,7365380000
2015-07-06,4394.439941,4444.410156,4344.149902,4420.149902,4420.149902,9256930000
2015-07-13,4457.759766,4661.600098,4456.540039,4661.600098,4661.600098,8746130000
2015-07-20,4670.229980,4694.129883,4552.399902,4557.370117,4557.370117,9632170000
2015-07-27,4530.370117,4616.479980,4506.189941,4588.910156,4588.910156,9693520000
2015-08-03,4595.259766,4634.700195,4485.500000,4520.080078,4520.080078,9950580000
2015-08-10,4558.680176,4583.629883,4436.540039,4530.740234,4530.740234,8906700000
2015-08-17,4516.879883,4568.589844,4197.270020,4197.270020,4197.270020,9653290000
